Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
47,1,100nF,"CAPACITOR, CERAMIC X7R, 100nF, 6.3V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07610,C57,,,21419,,,
48,1,DNM_0402,"CAPACITOR, CERAMIC, TBD, -55DEGC/+125DEGC, 0402, DNM, SMD",02-07616,C58,,,21838,,,
49,1,10nF,"CAPACITOR, CERAMIC X7R, 10nF, 25V, -10%/+10%, -55DEGC/+125DEGC, 0402, SMD",02-07775,C59,,,21891,,,
50,1,LPL296-J2L2-25,"OPTO, LED, GREEN COLOR, 562nm, 0.02A, 0.08W, 0603, SMD",15-01023,CR1,,,19741,,,
51,1,LS L296-P2Q2-1,"OPTO, LED, SUPER RED COLOR, 630nm, 1.8V TO 2.3V, 0.06A, 0603, SMD",15-01169,CR2,,,19738,,,
52,1,LS L296-P2Q2-1,"OPTO, LED, SUPER RED COLOR, 630nm, 1.8V TO 2.3V, 0.06A, 0603, SMD",15-01169,CR4,,,18497,,,
53,1,LPL296-J2L2-25,"OPTO, LED, GREEN COLOR, 562nm, 0.02A, 0.08W, 0603, SMD",15-01023,CR5,,,18500,,,
54,1,TPD4E004DRY,"DIODE, PROTECTION, ESD ARRAY, 4 CHANNEL, 6V TO 8V, -40DEGC/+85DEGC, SON6, SMD",14-06172,CR6,,,18244,,,
55,1,TPD6E004RSER,"DIODE, PROTECTION, ESD ARRAY - 6 CHANNELS, 7V, -40DEGC/+85DEGC, QFN8, SMD",14-05493,CR7,,,20623,,,
56,1,TPD6E004RSER,"DIODE, PROTECTION, ESD ARRAY - 6 CHANNELS, 7V, -40DEGC/+85DEGC, QFN8, SMD",14-05493,CR8,,,21646,,,
57,1,FIDU_1.27mm,"FIDUCIAL MARK, ROUND 1.27MM",19-00300,FIDU1,,,22257,,,
58,1,FIDU_1.27mm,"FIDUCIAL MARK, ROUND 1.27MM",19-00300,FIDU2,,,22261,,,
59,1,FIDU_1.27mm,"FIDUCIAL MARK, ROUND 1.27MM",19-00300,FIDU3,,,22251,,,
60,1,FIDU_1.27mm,"FIDUCIAL MARK, ROUND 1.27MM",19-00300,FIDU4,,,22259,,,
61,1,FIDU_1.27mm,"FIDUCIAL MARK, ROUND 1.27MM",19-00300,FIDU5,,,22253,,,
62,1,FIDU_1.27mm,"FIDUCIAL MARK, ROUND 1.27MM",19-00300,FIDU6,,,22255,,,
63,1,BLM18HE152SN1,"FILTER, EMI, 1500@100MHz, -55DEGC/+125DEGC, 0603, SMD",04-00470,FL1,,,17696,,,
64,1,SSQ-110-23-L-D,"CONNECTOR, HEADER, FEMALE, STRAIGHT, 2 ROWS, 20 ROWS, 2.54mm, PTH",06-04997,J1,,,19847,,,
